SubmissionId, DateSubmittedUtc, TeamId, TeamName, UserId, UserDisplayName, PublicScore, PrivateScore, IsSelected
2067409,2015-10-22 16:39,229375,"All ones benchmark",44777,"Heikki Huttunen",0.5,0.5,False
2084019,2015-10-27 14:04,226340,"Competition Wizard Sample Submission Playground",44777,"Heikki Huttunen",0.842028555420252,0.840330315995446,False
2084029,2015-10-27 14:06,226340,"Competition Wizard Sample Submission Playground",44777,"Heikki Huttunen",0.856042581077115,0.852496577518726,False
2084680,2015-10-27 18:18,226340,"Competition Wizard Sample Submission Playground",44777,"Heikki Huttunen",0.855220068653027,0.85206282743336,False
2084693,2015-10-27 18:20,226340,"Competition Wizard Sample Submission Playground",44777,"Heikki Huttunen",0.928667780325171,0.928025091192275,False
2086234,2015-10-28 06:12,226340,"Competition Wizard Sample Submission Playground",44777,"Heikki Huttunen",0.892188404327309,0.891347650040742,False
2086381,2015-10-28 07:30,226340,"Competition Wizard Sample Submission Playground",44777,"Heikki Huttunen",0.892188353946503,0.891347542413051,False
2086388,2015-10-28 07:34,231727,"Deep Feature Distances Benchmark",44777,"Heikki Huttunen",0.892188353946503,0.891347542413051,False
2093928,2015-10-30 12:30,226340,"Competition Wizard Sample Submission Playground",44777,"Heikki Huttunen",0.98300985833251,0.983150400078556,False
2095265,2015-10-30 20:40,231926,"TUT_Newbie(256481,256311,256275)",449227,"faceless void",0.826339547770402,0.835844671617245,False
2098559,2015-10-31 20:34,231926,"TUT_Newbie(256481,256311,256275)",449227,"faceless void",0.716864270335126,0.721212046893739,False
2098846,2015-10-31 21:57,231926,"TUT_Newbie(256481,256311,256275)",449227,"faceless void",0.667426749744579,0.654751334128095,False
2100013,2015-11-01 08:13,226340,"Competition Wizard Sample Submission Playground",44777,"Heikki Huttunen",0.925198962942793,0.923316328641752,False
2100015,2015-11-01 08:15,226340,"Competition Wizard Sample Submission Playground",44777,"Heikki Huttunen",0.957450383324655,0.957887187137256,False
2100021,2015-11-01 08:16,226340,"Competition Wizard Sample Submission Playground",44777,"Heikki Huttunen",0.8689907687215,0.875075616262462,False
2100858,2015-11-01 15:20,231926,"TUT_Newbie(256481,256311,256275)",449227,"faceless void",0.812642082020626,0.816076065314318,False
2101016,2015-11-01 16:35,231926,"TUT_Newbie(256481,256311,256275)",449227,"faceless void",0.930536552113009,0.930458255433831,False
2102765,2015-11-02 06:30,226340,"Competition Wizard Sample Submission Playground",44777,"Heikki Huttunen",0.892188353946503,0.891347542413051,False
2102973,2015-11-02 07:56,226340,"Competition Wizard Sample Submission Playground",44777,"Heikki Huttunen",0.925765823438574,0.921162924642814,False
2104346,2015-11-02 18:17,232905,"TUT_DeepFace",406780,"Jose",0.894631142816925,0.896954366474848,False
2104851,2015-11-02 21:49,232905,"TUT_DeepFace",406780,"Jose",0.895452597808914,0.897386410870669,False
2105882,2015-11-03 04:38,232905,"TUT_DeepFace",406780,"Jose",0.871891110491903,0.867022653352065,False
2106424,2015-11-03 08:47,232905,"TUT_DeepFace",406780,"Jose",0.716131353351349,0.721693795680383,False
2108922,2015-11-04 00:10,232905,"TUT_DeepFace",406780,"Jose",0.826392396595031,0.829920439175792,False
2111779,2015-11-04 21:19,231926,"TUT_Newbie(256481,256311,256275)",449227,"faceless void",0.944796476789501,0.945604484828961,False
2111939,2015-11-04 22:07,232905,"TUT_DeepFace",406780,"Jose",0.897895332356607,0.898890288142118,False
2113839,2015-11-05 12:20,232905,"TUT_DeepFace",406780,"Jose",0.897884579953189,0.898441201435892,False
2118557,2015-11-06 20:53,232905,"TUT_DeepFace",406780,"Jose",0.68428874487594,0.70100274603784,False
2118716,2015-11-06 21:55,231926,"TUT_Newbie(256481,256311,256275)",449227,"faceless void",0.944796485551238,0.9456045607715,False
2121202,2015-11-07 19:30,231926,"TUT_Newbie(256481,256311,256275)",449227,"faceless void",0.93545319765834,0.936448906665771,False
2121484,2015-11-07 21:37,231926,"TUT_Newbie(256481,256311,256275)",449227,"faceless void",0.944487822705986,0.945119538407953,False
2122004,2015-11-08 00:07,231926,"TUT_Newbie(256481,256311,256275)",449227,"faceless void",0.734249220899981,0.722194567571849,False
2123587,2015-11-08 13:04,231926,"TUT_Newbie(256481,256311,256275)",449227,"faceless void",0.910714129080874,0.908837348497492,False
2126924,2015-11-09 08:57,231926,"TUT_Newbie(256481,256311,256275)",449227,"faceless void",0.944487822705986,0.945119538407953,False
2128496,2015-11-09 18:56,236190,"Dani Korpi",461807,"Dani Korpi",0.901206001376708,0.900449691731216,False
2129052,2015-11-09 21:13,236190,"Dani Korpi",461807,"Dani Korpi",0.5,0.49999907209282,False
2129138,2015-11-09 21:31,231926,"TUT_Newbie(256481,256311,256275)",449227,"faceless void",0.939380359018325,0.944265880399461,False
2129392,2015-11-09 22:14,232905,"TUT_DeepFace",406780,"Jose",0.88671985533645,0.887080248173294,False
2129680,2015-11-09 23:09,232905,"TUT_DeepFace",406780,"Jose",0.897761232112824,0.899721315777011,False
2130225,2015-11-10 00:56,232905,"TUT_DeepFace",406780,"Jose",0.896823748068782,0.898703537140808,False
